STATE ABBREVIATION,STATE,DISTRICT,DISTRICT00,SPECIAL,JUNGLE,OPEN,ID_NUMCANDIDATES,ID_DISTRICTIDEOLOGY,NUMCANDIDATES,FECID,DISBURSEMENTS,TOTALDISBURSEMENT,DISBURSEMENTRATIO,INCUMBENT,CLOSEDSEAT,CANDIDATE NAME (First),CANDIDATE NAME (Last),CANDIDATE NAME STANDARD,CANDIDATE NAME COMMA,PARTY,USERNAME,FOLLOWING,DWNOMINATE,CANDIDATEIDEOLOGY,RELIABLE,DISTRICTIDEOLOGY,PRIMARY VOTES,PRIMARY %,PRIMARYPERCENT,RUNOFF VOTES,RUNOFF %,GENERAL VOTES ,GENERAL %,"COMBINED GE PARTY TOTALS (CT, NY)","COMBINED % (CT, NY)",GE WINNER INDICATOR,FOOTNOTES
CA,California,13,13,,1,0,CA13D,CA13D,1,H8CA09060,116281,116281.42,1.00,1,1,Barbara,Lee,Barbara Lee,"Lee, Barbara",D,BLeeForCongress,806,-0.682,-2.48,1,69.26067692,"159,751",0.99,99.33,,,"260,580",88.38%,,,W,
AL,Alabama,3,03,,0,0,AL03D,AL3D,2,H8AL03054,63813,68630.72,0.93,0,0,Mallory,Hagan,Mallory Hagan,"Hagan, Mallory",D,HaganforHousehaganstrategies,0,n/a,n/a,1,n/a,"21,410",0.66,65.74,,,"83,996",36.22%,,,,
AL,Alabama,3,03,,0,0,AL03D,AL3D,2,H8AL03062,4818,68630.72,0.07,0,0,Adia McClellan,Winfrey,Adia McClellan Winfrey,"Winfrey, Adia McClellan",D,drdia,688,n/a,-2.68,1,n/a,"11,157",0.34,34.26,,,,,,,,
AL,Alabama,4,04,,0,0,AL04D,AL4D,2,H8AL04094,3156,6153.72,0.51,0,0,Lee,Auman,Lee Auman,"Auman, Lee",D,LeeAuman2018,156,n/a,-0.81,1,n/a,"8,609",0.54,54.12,,,"46,492",20.13%,,,,
AL,Alabama,4,04,,0,0,AL04D,AL4D,2,H8AL04086,2998,6153.72,0.49,0,0,Rick,Neighbors,Rick Neighbors,"Neighbors, Rick",D,VoteNeighbors,239,n/a,-3.14,1,n/a,"7,297",0.46,45.88,,,,,,,,
CA,California,43,43,,1,0,CA43D,CA43D,1,H4CA23011,66180,66179.81,1.00,1,1,Maxine,Waters,Maxine Waters,"Waters, Maxine",D,WatersCampaign,0,-0.653,n/a,1,58.78128193,"63,908",0.72,72.35,,,"152,272",77.67%,,,W,
AL,Alabama,4,04,,0,1,AL04R,AL4R,2,H8AL04102,10,42068.70,0.00,0,1,Anthony,Blackmon,Anthony Blackmon,"Blackmon, Anthony",R,n/a,0,n/a,n/a,1,n/a,"21,366",0.19,18.53,,,,,,,,
NJ,New Jersey,12,12,,0,0,NJ12D,NJ12D,1,H4NJ12149,51122,51121.91,1.00,1,1,Bonnie,Watson Coleman,Bonnie Watson Coleman,"Watson Coleman, Bonnie",D,Bonnie4Congress,647,-0.625,-2.71,1,61.76570707,"35,430",1.00,100.00,,,"173,334",68.68%,,,W,
AL,Alabama,5,05,,0,1,AL05R,AL5R,2,H8AL05208,57969,106019.15,0.55,0,1,Clayton,Hinchman,Clayton Hinchman,"Hinchman, Clayton",R,hinchman2018,72,n/a,n/a,1,n/a,"34,739",0.39,38.74,,,,,, ,,
AR,Arkansas,2,02,,0,1,AR02D,AR2D,4,H8AR02142,8786,312501.70,0.03,0,0,Gewn,Combs,Gewn Combs,"Combs, Gwen",D,GwenCombs,1805,n/a,-2.05,1,51.77956522,"8,188",0.20,20.30,,,,,,,,
AR,Arkansas,2,02,,0,1,AR02D,AR2D,4,H8AR02159,303715,312501.70,0.97,0,0,Clarke,Tucker,Clarke Tucker,"Tucker, Clarke",D,clarketucker,983,n/a,-1.54,1,51.77956522,"23,325",0.58,57.82,,,"116,135",45.82%,,,,
AR,Arkansas,3,03,,0,1,AR03R,AR3R,2,H8AR03066,7641,207407.45,0.04,0,1,Robb,Ryerse,Robb Ryerse,"Ryerse, Robb",R,robbryerse,1450,n/a,0.57,1,23.2211857,"8,988",0.16,15.84,,,,,,,,
NY,New York,9,09,,0,0,NY09D,NY9D,2,H4NY11138,9684,96663.68,0.10,1,1,Yvette D.,Clarke,Yvette D. Clarke,"Clarke, Yvette D.",D,VoteYvette,290,-0.614,-2.59,1,61.35235497,"16,202",0.53,53.03,,,"167,269",82.23%,"181,455",89.20%,W,
AR,Arkansas,4,04,,0,1,AR04R,AR4R,2,H8AR04148,115067,244215.33,0.47,0,1,Randy,Caldwell,Randy Caldwell,"Caldwell, Randy",R,rc4ar,46,n/a,1.15,1,23.22450331,"10,151",0.20,20.16,,,,,,,,
IL,Illinois,9,09,,0,1,IL09D,IL9D,1,H8IL09067,117015,117015.08,1.00,1,1,Janice D.,Schakowsky,Janice D. Schakowsky,"Schakowsky, Janice D.",D,janschakowsky,1424,-0.606,-1.37,1,62.3713881,"108,417",1.00,100.00,,,"213,368",73.49%,,,W,
AZ,Arizona,3,03,,0,0,AZ03D,AZ3D,1,H2AZ07070,49524,49523.71,1.00,1,1,Raúl,Grijalva,Raúl Grijalva,"Grijalva, Raúl",D,standwithraul,456,-0.599,-2.62,1,55.97842893,"45,186",1.00,99.82,,,"114,650",63.87%,,,W,
AZ,Arizona,1,01,,0,0,AZ01R,AZ1R,3,H2AZ09035,302185,669292.12,0.45,0,0,Wendy,Rogers,Wendy Rogers,"Rogers, Wendy",R,WendyRogersAZ,5000,n/a,0.8,1,27.82856094,"30,180",0.44,43.74,,,"122,784",46.14%,,,,
AZ,Arizona,1,01,,0,0,AZ01R,AZ1R,3,H8AZ01237,226970,669292.12,0.34,0,0,Tiffany ,Shedd,Tiffany  Shedd,"Shedd, Tiffany ",R,Tiffany_Shedd,151,n/a,1.08,1,27.82856094,"13,260",0.19,19.22,,,,,,,,
AZ,Arizona,1,01,,0,0,AZ01R,AZ1R,3,H8AZ01229,140137,669292.12,0.21,0,0,Steve,Smith,Steve Smith,"Smith, Steve",R,senstevesmith,558,n/a,0.9,1,27.82856094,"25,552",0.37,37.04,,,,,,,,
AZ,Arizona,2,02,,0,0,AZ02D,AZ2D,7,H8AZ01104,686616,1139406.55,0.60,0,0,Ann,Kirkpatrick,Ann Kirkpatrick,"Kirkpatrick, Ann",D,Ann_Kirkpatrick,1234,-0.163,-2.14,1,60.197125,"33,938",0.42,41.85,,,"161,000",54.73%,,,W,
AZ,Arizona,2,02,,0,0,AZ02D,AZ2D,7,H8AZ02136,452790,1139406.55,0.40,0,0,Matt,Heinz,Matt Heinz,"Heinz, Matt",D,mattheinzmd,563,n/a,-2.07,1,60.197125,"23,992",0.30,29.59,,,,,,,,
AZ,Arizona,2,02,,0,0,AZ02R,AZ2R,4,H8AZ02201,12328,346125.53,0.04,0,0,Brandon,Martin,Brandon Martin,"Martin, Brandon",R,pathforfreedom,250,n/a,1.09,1,27.97246283,"19,809",0.29,28.70,,,,,,,,
AZ,Arizona,2,02,,0,0,AZ02R,AZ2R,4,H8AZ02193,1251,346125.53,0.00,0,0,Casey,Welch,Casey Welch,"Welch, Casey",R,caseybwelch,15,n/a,n/a,1,27.97246283,"14,499",0.21,21.01,,,,,,,,
AZ,Arizona,2,02,,0,0,AZ02R,AZ2R,4,H8AZ02227,3765,346125.53,0.01,0,0,"Daniel Romero, Jr.",Morales,Daniel Romero Morales,"Morales, Daniel Romero, Jr.",R,dannydjmorales,0,n/a,n/a,1,27.97246283,"11,135",0.16,16.13,,,,,,,,
AZ,Arizona,2,02,,0,0,AZ02R,AZ2R,4,H8AZ02185,328782,346125.53,0.95,0,0,Lea Marquez,Peterson,Lea Marquez Peterson,"Peterson, Lea Marquez",R,LeaPeterson,1683,n/a,0.37,1,27.97246283,"23,571",0.34,34.15,,,"133,083",45.24%,,,,
CA,California,34,34,,1,0,CA34D,CA34D,1,H8CA34266,46565,46565.18,1.00,1,1,Jimmy,Gomez,Jimmy Gomez,"Gomez, Jimmy",D,JimmyGomezCA,2843,-0.593,-2.4,1,61.37632297,"54,661",0.79,78.70,,,"110,195",72.54%,,,W,
AZ,Arizona,3,03,,0,0,AZ03R,AZ3R,3,H8AZ03142,8460,8459.88,1.00,0,0,Sergio,Arellano,Sergio Arellano,"Arellano, Sergio",R,sergio5941,1561,n/a,0.16,1,29.44574899,"7,400",0.28,28.19,,,,,,,,
AZ,Arizona,3,03,,0,0,AZ03R,AZ3R,3,H6AZ03179,0,8459.88,0.00,0,0,Edna,San Miguel,Edna San Miguel,"San Miguel, Edna",R,ednasanmiguel2,49,n/a,0.7,1,29.44574899,"5,756",0.22,21.93,,,,,,,,
AZ,Arizona,3,03,,0,0,AZ03R,AZ3R,3,H8AZ03159,0,8459.88,0.00,0,0,"Nicolas ""Nick""",Pierson,"Nicolas ""Nick"" Pierson","Pierson, Nicolas ""Nick""",R,PiersonCongress,0,n/a,n/a,1,29.44574899,"13,090",0.50,49.87,,,"64,868",36.13%,,,,
AZ,Arizona,4,04,,0,0,AZ04D,AZ4D,2,H8AZ04140,30071,34400.49,0.87,0,0,David,Brill,David Brill,"Brill, David",D,DrDavidBrill,1436,n/a,-1.17,1,54.22839117,"19,048",0.52,52.40,,,"84,521",30.51%,,,,
AZ,Arizona,4,04,,0,0,AZ04D,AZ4D,2,H8AZ04165,4329,34400.49,0.13,0,0,Delina,DiSanto,Delina DiSanto,"DiSanto, Delina",D,delina4az,2645,n/a,-2.64,1,54.22839117,"17,256",0.47,47.47,,,,,,,,
GA,Georgia,5,05,,0,1,GA05D,GA5D,1,H6GA05217,49080,49079.70,1.00,1,1,John R.,Lewis,John R. Lewis,"Lewis, John R.",D,repjohnlewis,146,-0.589,-2.49,1,55.29074627,"80,860",1.00,100.00,,,"275,406",100.00%,,,W,
AZ,Arizona,5,05,,0,0,AZ05D,AZ5D,2,H8AZ05162,6797,36868.74,0.18,0,0,Jose,Torres,Jose Torres,"Torres, Jose",D,JoseTorresAZ5,4638,n/a,-1.24,1,59.39271804,"18,671",0.41,40.68,,,,,,,,
AZ,Arizona,5,05,,0,0,AZ05D,AZ5D,2,H8AZ05154,30071,36868.74,0.82,0,0,Joan,Greene,Joan Greene,"Greene, Joan",D,joangreeneaz,5000,n/a,-1.93,1,59.39271804,"27,222",0.59,59.32,,,"127,027",40.58%,,,,
CA,California,17,17,,1,0,CA17D,CA17D,3,H4CA12055,218807,218807.17,1.00,1,1,Ro,Khanna,Ro Khanna,"Khanna, Ro",D,RoKhanna,5000,-0.586,-1.96,1,68.05747126,"72,676",0.62,61.98,,,"159,105",75.35%,,,W,
AZ,Arizona,6,06,,0,0,AZ06D,AZ6D,3,H8AZ06103,24261,125771.40,0.19,0,0,Anita,Malik,Anita Malik,"Malik, Anita",D,AnitaMalik,1301,n/a,-2.31,1,62.12885533,"22,666",0.42,42.21,,,"140,559",44.81%,,,,
AZ,Arizona,6,06,,0,0,AZ06D,AZ6D,3,H8AZ06087,6797,125771.40,0.05,0,0,Garrick,McFadden,Garrick McFadden,"McFadden, Garrick",D,electgarrick,1038,n/a,-2.33,1,62.12885533,"10,825",0.20,20.16,,,,,,,,
AZ,Arizona,6,06,,0,0,AZ06D,AZ6D,3,H8AZ06095,94713,125771.40,0.75,0,0,Heather,Ross,Heather Ross,"Ross, Heather",D,heatherforaz,589,n/a,-2.57,1,62.12885533,"20,203",0.38,37.63,,,,,,,,
CA,California,37,37,,1,0,CA37D,CA37D,1,H0CA33117,44305,44304.74,1.00,1,1,Karen,Bass,Karen Bass,"Bass, Karen",D,KarenBassTweets,280,-0.585,-2.26,1,62.01571532,"99,118",0.89,89.18,,,"210,555",89.08%,,,W,
AZ,Arizona,7,07,,0,0,AZ07D,AZ7D,2,H8AZ07044,6235,205806.21,0.03,0,1,Catherine,Miranda,Catherine Miranda,"Miranda, Catherine",D,mirandaforhouse,1003,n/a,-1.46,1,57.53682119,"10,856",0.25,25.20,,,,,,,,
OH,Ohio,11,11,,0,1,OH11D,OH11D,1,H8OH11141,60480,60479.74,1.00,1,1,Marcia L.,Fudge,Marcia L. Fudge,"Fudge, Marcia L.",D,mlfudge,1698,-0.581,-1.83,1,62.07098592,"65,905",1.00,99.90,,,"206,138",82.24%,,,W,
AZ,Arizona,8,08,,0,0,AZ08D,AZ8D,1,H8AZ08083,101324,101323.85,1.00,0,0,Hiral,Tipirneni,Hiral Tipirneni,"Tipirneni, Hiral",D,hiral4congress,419,n/a,-0.61,1,58.6536623,"52,215",1.00,100.00,,,"135,569",44.53%,,,,
MA,Massachusetts,7,07,,0,0,MA07D,MA7D,2,H8MA08071,930832,1314204.24,0.71,1,1,Michael E.,Capuano,Michael E. Capuano,"Capuano, Michael E.",D,mikecapuano,753,-0.58,-1.75,1,64.89922069,"42,430",0.41,41.34,,,,,,,,
AZ,Arizona,8,08,,0,0,AZ08R,AZ8R,2,H8AZ08257,2323,38259.59,0.06,0,1,Sandra E.,Dowling,Sandra E. Dowling,"Dowling, Sandra E.",R,n/a,0,n/a,n/a,1,26.51469754,"21,825",0.23,22.83,,,,,,,,
AZ,Arizona,9,09,,0,0,AZ09D,AZ9D,1,H8AZ09040,104563,104563.01,1.00,0,0,Greg,Stanton,Greg Stanton,"Stanton, Greg",D,gregstantonaz,2846,-0.31,-1.35,1,62.72458599,"59,066",1.00,100.00,,,"159,583",61.09%,,,W,
AZ,Arizona,9,09,,0,0,AZ09R,AZ9R,3,H6AZ09010,49176,281663.04,0.17,0,0,Dave,Giles,Dave Giles,"Giles, Dave",R,VoteGiles,3509,n/a,0.94,1,28.41156505,"16,722",0.32,32.31,,,,,,,,
AZ,Arizona,9,09,,0,0,AZ09R,AZ9R,3,H8AZ09024,232488,281663.04,0.83,0,0,Stephen L.,Ferrara,Stephen L. Ferrara,"Ferrara, Stephen L.",R,steveferraramd,862,n/a,0.58,1,28.41156505,"31,006",0.60,59.92,,,"101,662",38.91%,,,,
CA,California,1,01,,1,0,CA01D,CA1D,4,H8CA01257,82197,82196.70,1.00,0,0,Audrey,Denney,Audrey Denney,"Denney, Audrey",D,audrey4congress,983,n/a,-1.67,1,62.39034175,"34,121",0.18,17.92,,,"131,548",45.11%,,,,
FL,Florida,20,20,,0,0,FL20D,FL20D,2,H2FL23021,89235,98475.91,0.91,1,1,Alcee L.,Hastings,Alcee L. Hastings,"Hastings, Alcee L.",D,alcee4congress,189,-0.564,-2.22,1,53.76076538,"52,628",0.74,73.79,,,"202,659",99.92%,,,W,
MD,Maryland,8,08,,0,0,MD08D,MD8D,3,H6MD08457,47608,47608.32,1.00,1,1,Jamie,Raskin,Jamie Raskin,"Raskin, Jamie",D,jamie_raskin,2346,-0.546,-2.55,1,67.342777,"81,071",0.90,90.50,,,"217,679",68.17%,,,W,
CA,California,2,02,,1,0,CA02R,CA2R,1,H4CA02098,649,649.00,1.00,0,0,Dale K.,Mensing,Dale K. Mensing,"Mensing, Dale K.",R,mensingdale,37,n/a,0.83,1,29.02819706,"41,608",0.21,20.94,,,"72,576",22.99%,,,,
WI,Wisconsin,2,02,,0,1,WI02D,WI2D,1,H2WI02124,36967,36966.97,1.00,1,1,Mark ,Pocan,Mark  Pocan,"Pocan, Mark ",D,markpocan,2451,-0.543,-1.7,1,n/a,"115,246",1.00,99.69,,,"309,116",97.42%,,,W,
CA,California,3,03,,1,0,CA03R,CA3R,1,H6CA03067,10527,10526.51,1.00,0,0,Charlie,Schaupp,Charlie Schaupp,"Schaupp, Charlie",R,CharlieSchaupp,16,n/a,3.33,0,26.80771899,"58,598",0.42,42.12,,,"97,376",41.93%,,,,
CA,California,4,04,,1,0,CA04D,CA4D,4,H8CA04210,217886,217886.38,1.00,0,0,Jessica,Morse,Jessica Morse,"Morse, Jessica",D,Morse4America,5000,n/a,-1.14,1,62.77752489,"42,942",0.20,20.30,,,"156,253",45.87%,,,,
MA,Massachusetts,2,02,,0,0,MA02D,MA2D,1,H4MA03022,41660,41659.62,1.00,1,1,James P.,McGovern,James P. McGovern,"McGovern, James P.",D,mcgovernma,554,-0.539,-2.16,1,61.02913109,"53,848",0.99,99.17,,,"191,332",67.16%,,,W,
CA,California,11,11,,1,0,CA11D,CA11D,2,H0CA10073,32732,32732.32,1.00,1,1,Mark,DeSaulnier,Mark DeSaulnier,"DeSaulnier, Mark",D,MarkDeSaulnier,163,-0.529,-2.2,1,67.23922246,"107,115",0.68,68.28,,,"204,369",74.13%,,,W,
WI,Wisconsin,4,04,,0,1,WI04D,WI4D,2,H4WI04183,52379,52379.35,1.00,1,1,Gwen S.,Moore,Gwen S. Moore,"Moore, Gwen S.",D,Gwen4Congress,1245,-0.529,-3.06,1,n/a,"76,991",0.89,88.86,,,"206,487",75.61%,,,W,
NJ,New Jersey,10,10,,0,0,NJ10D,NJ10D,2,H2NJ10154,36561,36560.63,1.00,1,1,"Donald M., Jr.",Payne,Donald M. Payne,"Payne, Donald M., Jr.",D,repdonaldpayne,1180,-0.517,-2.35,1,59.11094118,"38,206",0.92,91.74,,,"175,253",87.56%,,,W,
CA,California,7,07,,1,0,CA07R,CA7R,2,H8CA07056,42648,42648.17,1.00,0,0,Andrew,Grant,Andrew Grant,"Grant, Andrew",R,AndrewFGrant,59,n/a,0.2,1,27.46412677,"51,221",0.31,31.21,,,"126,601",44.96%,,,,
CA,California,8,08,,1,0,CA08D,CA8D,3,H8CA08112,207684,207684.20,1.00,0,0,"Marjorie ""Marge""",Doyle,"Marjorie ""Marge"" Doyle","Doyle, Marjorie ""Marge""",D,Marge4Congress,1916,n/a,-2.31,1,58.89778189,"23,675",0.22,21.69,,,,,,,,
CA,California,8,08,,1,0,CA08R,CA8R,2,H8CA08120,34868,404263.98,0.09,0,1,Tim,Donnelly,Tim Donnelly,"Donnelly, Tim",R,PatriotNotPol,5000,n/a,1.05,1,26.60144681,"24,933",0.23,22.85,,,"68,370",40.03%,,,,
MS,Mississippi,2,02,,0,1,MS02D,MS2D,1,H4MS02068,93857,93856.52,1.00,1,1,Bennie G.,Thompson,Bennie G. Thompson,"Thompson, Bennie G.",D,BennieGThompson,501,-0.516,-2.33,1,48.11299659,"31,203",1.00,100.00,,,"158,921",71.79%,,,W,
CA,California,44,44,,1,0,CA44D,CA44D,2,H6CA44103,194094,195807.44,0.99,1,1,Nanette Diaz,Barragán,Nanette Diaz Barragán,"Barragán, Nanette Diaz",D,nanette4ca,1181,-0.51,-1.87,1,55.44503891,"39,453",0.66,65.51,,,"97,944",68.34%,,,W,
CA,California,9,09,,1,0,CA09R,CA9R,1,H8CA09144,1335,1334.89,1.00,0,0,Marla ,Livengood,Marla  Livengood,"Livengood, Marla ",R,marlalivengood,1216,n/a,0.75,1,28.92644099,"43,242",0.41,41.10,,,"87,349",43.51%,,,,
CA,California,10,10,,1,0,CA10D,CA10D,5,H8CA10126,638071,638071.18,1.00,0,0,Josh,Harder,Josh Harder,"Harder, Josh",D,JoshHarder,237,-0.373,-2.14,1,59.42549858,"20,742",0.17,17.04,,,"115,945",52.25%,,,W,
CA,California,38,38,,1,0,CA38D,CA38D,1,H2CA39078,173688,173687.98,1.00,1,1,Linda T.,Sánchez,Linda T. Sánchez,"Sánchez, Linda T.",D,LindaTSanchez,432,-0.508,-1.83,1,57.74223865,"54,691",0.63,62.67,,,"139,188",68.85%,,,W,
CA,California,12,12,,1,0,CA12D,CA12D,4,H8CA05035,447638,447637.81,1.00,1,1,Nancy ,Pelosi,Nancy  Pelosi,"Pelosi, Nancy ",D,TeamPelosi,5000,-0.49,-2.26,1,72.67238063,"141,365",0.68,68.50,,,"275,292",86.82%,,,W,
CA,California,11,11,,1,0,CA11R,CA11R,1,H0CA07111,0,0.00,0.00,0,0,John,Fitzgerald,John Fitzgerald,"Fitzgerald, John",R,JFitz4Congress,11,n/a,n/a,1,28.2361326,"36,279",0.23,23.13,,,"71,312",25.87%,,,,
CA,California,27,27,,1,0,CA27D,CA27D,2,H0CA32101,47784,49296.00,0.97,1,1,Judy ,Chu,Judy  Chu,"Chu, Judy ",D,JudyChuCampaign,308,-0.487,-1.5,1,63.30483504,"86,932",0.83,83.49,,,"160,504",79.21%,,,W,
IL,Illinois,7,07,,0,1,IL07D,IL7D,2,H4IL07037,20195,45873.33,0.44,1,1,Danny K. ,Davis,Danny K.  Davis,"Davis, Danny K. ",D,repdannydavis,372,-0.486,-2.38,1,58.16584976,"81,570",0.74,73.86,,,"215,746",87.62%,,,W,
TX,Texas,30,30,,0,1,TX30D,TX30D,3,H2TX00015,6856,48136.87,0.14,1,1,Eddie Bernice,Johnson,Eddie Bernice Johnson,"Johnson, Eddie Bernice",D,repebj,2111,-0.485,-2.11,1,56.51871508,"32,669",0.64,63.60,,,"166,784",91.05%,,,W,
CA,California,14,14,,1,0,CA14R,CA14R,1,H8CA14185,0,0.00,0.00,0,0,Cristina,Osmeña,Cristina Osmeña,"Osmeña, Cristina",R,CristinaOsmena,180,n/a,0.43,1,33.35131783,"32,054",0.21,20.55,,,"55,439",20.78%,,,,
MA,Massachusetts,5,05,,0,0,MA05D,MA5D,1,H4MA05084,53299,53298.94,1.00,1,1,Katherine M.,Clark,Katherine M. Clark,"Clark, Katherine M.",D,katherineclark,3514,-0.483,-1.9,1,66.56585467,"78,156",0.99,99.27,,,"236,243",75.88%,,,W,
CA,California,15,15,,1,0,CA15R,CA15R,2,H8CA15117,3431,3430.83,1.00,0,0,"Rudy L., Jr.",Peters,Rudy L. Peters,"Peters, Rudy L., Jr.",R,ScottPetersSD,1506,n/a,-1.4,1,30.59035088,"33,771",0.26,26.17,,,"65,940",27.03%,,,,
MO,Missouri,1,01,,0,1,MO01D,MO1D,4,H0MO01066,106046,125606.89,0.84,1,1,Lacy,Clay,Lacy Clay,"Clay, Lacy",D,LacyClayMO1,2944,-0.481,-2.18,1,n/a,"81,812",0.57,56.70,,,"219,781",80.10%,,,W,
CA,California,16,16,,1,0,CA16R,CA16R,1,H8CA16065,70729,70728.53,1.00,0,0,Elizabeth,Heng,Elizabeth Heng,"Heng, Elizabeth",R,ElizabethHeng,411,n/a,0.01,1,29.21345679,"35,080",0.47,47.02,,,"60,693",42.45%,,,,
GU,Guam,1,01,,0,0,GU01D,GU1D,2,H2GU00033,7091,14169.76,0.50,1,1,Madeleine Z.,Bordallo,Madeleine Z. Bordallo,"Bordallo, Madeleine Z.",D,n/a,0,n/a,n/a,1,n/a,"11,700",0.48,48.11,,,,,,,,
CA,California,17,17,,1,0,CA17R,CA17R,1,H6CA17141,520,520.00,1.00,0,0,Ron,Cohen,Ron Cohen,"Cohen, Ron",R,n/a,0,n/a,n/a,1,30.89390018,"26,865",0.23,22.91,,,"52,057",24.65%,,,,
IL,Illinois,1,01,,0,1,IL01D,IL1D,1,H2IL01042,51622,51622.41,1.00,1,1,Bobby L.,Rush,Bobby L. Rush,"Rush, Bobby L.",D,bobbylrushmc,1053,-0.478,-2.04,1,56.36469098,"104,114",1.00,100.00,,,"189,560",73.51%,,,W,
CA,California,18,18,,1,0,CA18R,CA18R,1,H8CA18087,0,0.00,0.00,0,0,Christine,Russell,Christine Russell,"Russell, Christine",R,n/a,0,n/a,n/a,1,28.01116022,"42,692",0.23,23.39,,,"77,096",25.51%,,,,
FL,Florida,24,24,,0,0,FL24D,FL24D,2,H0FL17068,47235,47234.93,1.00,1,1,Frederica S.,Wilson,Frederica S. Wilson,"Wilson, Frederica S.",D,repwilson,3611,-0.476,-1.33,1,54.95259371,"66,202",0.84,83.67,,,Unopposed,100.00%,,,W,
CA,California,40,40,,1,0,CA40D,CA40D,1,H2CA33048,33542,33541.69,1.00,1,1,Lucille,Roybal-Allard,Lucille Roybal-Allard,"Roybal-Allard, Lucille",D,RepRoybalAllard,5000,-0.47,-1.32,1,56.16012995,"35,636",0.80,80.30,,,"93,938",77.35%,,,W,
CA,California,21,21,,1,0,CA21D,CA21D,1,H8CA10167,110269,110268.98,1.00,0,0,TJ,Cox,TJ Cox,"Cox, TJ",D,TJCoxCongress,464,-0.325,-2.38,1,56.30173913,"20,293",0.37,37.18,,,"57,239",50.38%,,,W,
